28,5,12,Brossy-Cuijpers,110, rue du Dr Théodor Mathieu - BP 228,12002,RODEZ Cedex,05.65.68.08.21,05.65.68.47.45,contact@aveyron-expertise.fr,39796768800011,FR13397967688,44.362247,2.563921,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
29,18,34,Arcachonnaise Expertise,31 avenue Gustave Eiffel - CS 70016,33615,PESSAC CEDEX,05.56.101.101,05.56.101.100,eae.paolin@herm-ex.fr,39255654400048,FR16392556544,44.778274,-0.6561169,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
30,23,84,Ott SAS,125 Via Nova Pôle Ecellence Jean Louis,83600,FREJUS,04.94.53.47.54,04.94.53.47.54,gestion83@bce-expertise.fr,52465973700018,FR90524659737,43.4657009,6.7306162,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
31,24,6,Korhel SARL,2 Boulevard René CASSIN,6200,NICE,04.93.21.20.70,04.93.21.29.85,gestion06@bce-expertise.fr,43187039300011,FR39431870393,43.6746835,7.2267389,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
32,25,13,Arles Expertises,19 Boulevard Emile COMBE,13200,ARLES,04.91.10.40.73,04.91.10.40.29,gestion13@bce-expertise.fr,38446050700013,FR26384460507,43.678714,4.6340357,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
33,26,13,Pays d'Aix Expertise,5 Rue Charles Duschène,13100,AIX EN PROVENCE,04.91.10.40.20,04.91.10.40.29,gestion13@bce-expertise.fr,38446050700013,FR26384460507,43.491355,5.3703095,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
34,27,13,Marseille Expertise,1 Montée de saint Menet,13011,MARSEILLE,04.91.10.40.20,04.91.10.40.29,gestion13@bce-expertise.fr,38446050700013,FR26384460507,43.2907755,5.4932541,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
35,28,27,Montelimar Expertise,13 Pace du theatre,26200,MONTELIMAR,04.91.10.40.73,04.91.10.40.29,gestionmontelimar@bce-expertise.fr,38446050700013,FR26384460507,44.5545335,4.7454174,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
36,29,21,Cosudex,Avenue Paul Giacobbi,20600,BASTIA,04.95.33.02.47,04.95.33.50.17,gestion2b@bce-expertise.fr,32922006500026,,42.6718384,9.4401401,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
37,30,20,BIEA,17 rue du docteur del pellegrino,20000,AJACCIO,04.95.23.60.01,04.95.23.60.00,gestion2a@bce-expertise.fr,42172970800022,,41.9291246,8.7359444,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
38,31,70,Premex SARL,4 rue Marie Louise et Anne Marie Soucelier,69005,LYON,04.72.38.60.00,04.72.38.60.08,cce.rhone-alpes@ccera.eu,332690569,Fr1633269056900022,45.7548185,4.7957063,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
39,32,52,CABINET T. CISZEWICZ SARL,42 RUE DE LA PAIX ,10000,TROYES,03.25.43.44.90,03.25.43.44.99,Cabinet.Ciszewicz@cabinetciszewicz.com,391 466 141 00028,,48.3037188,4.0674349,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
40,33,51,Société d’Expertise Marne Ardennes Automobile,10 Route de Prix CS 20162,08008 ,CHARLEVILLE MEZIERES,03.24.57.07.34,03.24.57.23.75,contact@semaa-chmez.fr,412145039,,49.7557419,4.7168627,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
41,34,22,CEA EXPERTISE,11 Rue Louis de Broglie,21000,DIJON,0380713100,0380735078,contact@cea-expertises.fr,434-424 891 00035,,47.3577975,5.043308,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
42,35,81,SAS LEMAIRE EXPERTISE,222 Avenue defense passive rivery BP 80348,80003,Amiens,0322468000,0322465442,lemaire@ader.fr,48932294100035,,49.9118477,2.3365169,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
43,36,72,EXAC,101 Avenue de la libération,71210,Montchanin,0385774040,0385774041,cabinet.exac@orange.fr,51509663400024,,46.7548464,4.4752801,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
44,37,69,ALSACE EXPERTISE,4 Rue de Bretagne,68390,Sausheim,0389564533,0389565110,accueil@alsace-expertise.com,32130316600045,,47.7797394,7.3908355,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
45,38,68,CABINET BARTH Sàrl,273-275 avenue de Colmar,67100,STRASBOURG,03.88.40.50.50,03.88.40.50.50,info@barth-expert.com ,32830824200010,,48.5526394,7.744227,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
46,39,68,CASTEROT EXPERTISE,4 rue Saint-Exupéry,67500,HAGUENAU,0388054480,0388082511,haguenau@casterot-expertise.com,339 741 886 00024,,48.7938291,7.8089634,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
47,39,68,ANNEXE DU CABINET CASTEROT,2 Rue Robert Beltz,67460,STRASBOURG,03.88.18.25.10,03.88.08.25.11,strasbourg@casterot-expertise.fr,339 741 886 00024,,48.629908,7.7333945,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
48,40,59,AUTO EXPERTS REUNIS,4 rue du Bengy  BP 20123,58641,Varennes Vauzelles,03.86.59.75.35,03.86.59.75.39,accueil@aer.fr,388 730 699 00013,,47.0309114,3.1447525,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
49,41,90,Société d'expertise LHUILLIER,64 rue du Moulin du Président,89000,AUXERRE,03.86.42.00.72,03.86.51.06.92,infos@lhuillier.fr,42722072800047,,47.810301,3.5821858,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
50,42,55,CABINET WURTZ,Avenue Raymond Pinchard BP 92024,54100,Nancy,03.83.28.45.24,03.83.90.31.13,info@cabinet-wurtz.fr,411 302 128 000 29,,48.7021688,6.1516415,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
51,43,52,SARL HENRY EXPERTISES,10 Rue du Vieux Port,51300,Vitry Le François,03.26.74.06.50,03.26.74.67.56,didier.henry-miazza@wanadoo.fr,334 580 487 00067,,48.7238424,4.5913767,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
52,44,52,NETTELET EXPERTISES,5 Rue du Capitaine Georges Madon,51100,Reims,03.26.06.60.55,03.26.06.61.53,contact@nettelet-expertises.fr,434 612 198 00029,,49.2360107,4.0867281,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
53,45,64,SARL Cabinet REVOL,Parc Technologique de la Pardieu – 14 rue Valentin Haüy,63000,CLERMONT-FERRAND,04.73.27.98.05,04.73.44.92.87,experts@cabinet-revol.fr,482 518 172 00010,,45.7639548,3.1382909,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
54,46,26,CABINET EUROPE EXPERTISE AUTOMOBILE,12, rue de la Corvée,25000,Besançon,03.81.25.07.57,03.81.51.26.49,c.e.e.a@orange.fr,47996917200028,,47.3094436,5.0226762,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
55,46,26,CABINET  EXPERTISE AUTOMOBILE FRACHEBOIS,6, avenue de l’Europe,25300,Arbouans,03.81.30.42.20,03.81.30.45.52,cabinet.frachebois@wanadoo.fr,48011560900012,,47.4877814,6.8160582,1,0,0000-00-00 00:00:00,0000-00-00 00:00:00
